run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m
m5-gate,c2afc98582c9,18,0,ran,qwen2.5:0.5b,short,0,0,after,1789617468.007537,1789617468.166381,67.047,158.705,38.23,67.016,24,25,250.933,1,,,5.06
m5-gate,f696a4164d89,19,0,ran,qwen2.5:0.5b,short,0,0,after,1789617468.666509,1789617468.815588,64.254,148.931,35.382,64.222,24,25,271.618,1,,,5.06
m5-gate,1c4f48289a84,20,0,ran,qwen2.5:0.5b,short,0,0,after,1789617469.315759,1789617469.461595,57.995,145.712,29.174,57.964,24,25,262.205,1,,,5.06
m5-gate,47c5788de889,21,0,ran,qwen2.5:0.5b,short,0,0,after,1789617469.961772,1789617470.102727,48.519,140.802,19.585,48.488,24,25,249.234,1,,,5.06
m5-gate,b5cf7c82fca3,22,0,ran,qwen2.5:0.5b,short,0,0,after,1789617470.602942,1789617470.745038,49.39,141.993,21.52,49.359,24,25,248.373,1,,,5.06
m5-gate,0d788369f9f2,23,0,ran,qwen2.5:0.5b,short,0,0,after,1789617471.245174,1789617471.378809,47.447,133.507,18.186,47.416,24,25,267.255,1,,,5.06
m5-gate,dcc0b404d5ca,24,0,ran,qwen2.5:0.5b,short,0,0,after,1789617471.878977,1789617472.028483,58.067,149.361,29.048,58.037,24,25,251.932,1,,,4.97
m5-gate,b06fbd9504fa,25,0,ran,qwen2.5:0.5b,short,0,0,after,1789617472.52869,1789617472.677418,64.196,148.587,35.192,64.162,24,25,272.541,1,,,4.97
m5-gate,5309f7c24115,26,0,ran,qwen2.5:0.5b,short,0,0,after,1789617473.177632,1789617473.32285,51.175,145.074,22.32,51.144,24,25,244.945,1,,,4.97
m5-gate,65c8da6152e3,27,0,ran,qwen2.5:0.5b,short,0,0,after,1789617473.823059,1789617473.983149,66.846,159.949,37.804,66.814,24,25,247.038,1,,,4.97
m5-gate,25a9c088fc1a,28,0,ran,qwen2.5:0.5b,short,0,0,after,1789617474.483331,1789617474.61868,49.264,135.213,20.639,49.23,24,25,267.601,1,,,4.97
m5-gate,f685cc62fd68,29,0,ran,qwen2.5:0.5b,short,0,0,after,1789617475.118856,1789617475.26605,58.373,147.022,29.56,58.321,24,25,259.449,1,,,4.97
m5-gate,92d106b04d4d,30,0,ran,qwen2.5:0.5b,short,0,0,after,1789617475.766286,1789617475.907944,48.775,141.521,19.613,48.743,24,25,247.991,1,,,4.97
m5-gate,1cc7b2ec88c7,31,0,ran,qwen2.5:0.5b,short,0,0,after,1789617476.40813,1789617476.569126,65.536,160.849,36.431,65.496,24,25,241.308,1,,,4.97
m5-gate,145524897ac6,32,0,ran,qwen2.5:0.5b,short,0,0,after,1789617477.069326,1789617477.214493,58.229,145.025,29.276,58.195,24,25,264.988,1,,,5.62
