"Image Name","PID","Session Name","Session#","Mem Usage"
"svchost.exe","4244","Services","0","7,036 K"
"svchost.exe","4280","Services","0","17,252 K"
"svchost.exe","4340","Services","0","8,024 K"
"svchost.exe","4808","Services","0","6,996 K"
"svchost.exe","4816","Services","0","8,232 K"
"PulseSecureService.exe","4824","Services","0","17,584 K"
"svchost.exe","4900","Services","0","6,144 K"
"svchost.exe","4940","Services","0","7,564 K"
"svchost.exe","5008","Services","0","10,520 K"
"svchost.exe","5036","Services","0","16,468 K"
"svchost.exe","4336","Services","0","9,148 K"
"svchost.exe","4856","Services","0","24,264 K"
"svchost.exe","5184","Services","0","26,704 K"
"svchost.exe","5272","Services","0","9,612 K"
"svchost.exe","5564","Services","0","11,820 K"
"svchost.exe","5804","Services","0","16,768 K"
"svchost.exe","5960","Services","0","10,060 K"
"spoolsv.exe","6056","Services","0","8,868 K"
"svchost.exe","5208","Services","0","9,760 K"
"svchost.exe","6216","Services","0","58,304 K"
"SpitCamSrv.exe","6232","Services","0","10,740 K"
"svchost.exe","6268","Services","0","50,020 K"
"ElevocControlService.exe","6292","Services","0","10,252 K"
"GameInputRedistService.exe","6300","Services","0","14,024 K"
"Lenovo.Modern.ImController.exe","6316","Services","0","31,964 K"
