run_id,request_id,seq,warmup,path,model,prompt_id,loss_pct,delay_ms,condition,wall_start,wall_end,ttft_ms,total_ms,connect_ms,headers_ms,tokens,eval_count,tokens_per_s,ok,failure,detail,loadavg_1m,prompt_nonce
m6-sweep,b63f1ddbaea1,40,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622577.236618,1789622578.374978,286.751,1138.268,129.953,286.71,82,83,95.124,1,,,7.18,16fd2cfc
m6-sweep,1215be5180ca,41,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622578.875196,1789622579.722597,289.449,847.285,131.04,289.399,54,55,95.01,1,,,7.18,a3ab8c14
m6-sweep,c497c1b99f1e,42,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622580.222787,1789622580.933037,286.786,710.159,125.666,286.749,41,42,94.479,1,,,7.18,60825578
m6-sweep,5a11f46176ce,43,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622581.433273,1789622582.242869,274.17,809.499,118.966,274.128,52,53,95.269,1,,,6.77,2a9a9337
m6-sweep,6339534d62b8,44,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622582.743108,1789622583.825069,282.93,1081.837,119.152,282.894,78,79,96.382,1,,,6.77,7dc2fafa
m6-sweep,cc2047945c0c,45,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622584.325514,1789622585.034484,286.797,708.859,126.76,286.751,41,42,94.773,1,,,6.77,81f098ec
m6-sweep,af4ee5f6a32f,46,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622585.534767,1789622586.332212,275.03,797.327,121.739,274.967,51,52,95.731,1,,,7.03,9cf3a7c5
m6-sweep,f976463f6ad1,47,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622586.832469,1789622587.894671,302.024,1062.103,138.965,301.948,72,73,93.411,1,,,7.03,825ed2b4
m6-sweep,60eb7babb1e6,48,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622588.394928,1789622589.55748,293.918,1162.438,131.711,293.848,85,86,96.716,1,,,7.03,9fd1cec1
m6-sweep,2805e59f4062,49,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622590.05775,1789622591.175594,282.484,1117.701,124.875,282.403,82,83,96.981,1,,,6.79,9ba45753
m6-sweep,4d8c57d1b568,50,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622591.675963,1789622592.797737,285.996,1121.667,128.286,285.945,82,83,96.928,1,,,6.79,9490dc3b
m6-sweep,84ee330d84c5,51,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622593.297951,1789622594.107837,277.887,809.787,119.141,277.844,52,53,95.883,1,,,6.79,95f4f49d
m6-sweep,797af4e40593,52,0,ran,qwen2.5:3b,short,0,50,c002.1,1789622594.608035,1789622595.747157,295.576,1139.032,138.42,295.526,83,84,97.219,1,,,6.79,98b4be3c
m6-sweep,811373b0631e,0,1,ran,qwen2.5:3b,short,0,0,c003.1,1789622598.205956,1789622599.026714,98.747,820.524,39.215,98.708,70,71,95.597,1,,,6.64,f26faadd
m6-sweep,e5c7cd5ced76,1,1,ran,qwen2.5:3b,short,0,0,c003.1,1789622599.52707,1789622600.455487,87.165,928.295,31.807,87.131,82,83,96.299,1,,,6.64,2f38431c
m6-sweep,cde164786939,2,1,ran,qwen2.5:3b,short,0,0,c003.1,1789622600.955682,1789622601.457171,81.738,501.374,26.046,81.703,41,42,95.321,1,,,7.55,38211487
m6-sweep,080a6d1651a8,3,0,ran,qwen2.5:3b,short,0,0,c003.1,1789622601.957344,1789622602.824264,83.02,866.82,33.657,82.984,77,78,96.963,1,,,7.55,2fdd82fd
m6-sweep,bd5f817ff7ba,4,0,ran,qwen2.5:3b,short,0,0,c003.1,1789622603.324481,1789622603.993587,86.434,668.988,36.296,86.392,57,58,96.128,1,,,7.55,bffacfd5
m6-sweep,5e91f8ba089e,5,0,ran,qwen2.5:3b,short,0,0,c003.1,1789622604.493827,1789622605.419004,78.907,925.012,25.865,78.873,82,83,95.733,1,,,7.55,06cbeeaf
