wall,cell,event,detail
1789624281.63,c026,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 20, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 8025: root refcnt 2 limit 1000 loss 20%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 20.0, ""raw"": ""qdisc netem 8026: root refcnt 2 limit 1000 loss 20%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624440.746,c026,done,attempt 1
1789624441.797,c027,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8027: root refcnt 2 limit 1000 delay 100ms""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8028: root refcnt 2 limit 1000 delay 100ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624532.978,c027,done,attempt 1
1789624534.032,c028,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 1, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8029: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 802a: root refcnt 2 limit 1000 delay 100ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624645.396,c028,done,attempt 1
1789624646.445,c029,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 20, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 802b: root refcnt 2 limit 1000 delay 20ms""}, ""downlink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 802c: root refcnt 2 limit 1000 delay 20ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624729.439,c029,done,attempt 1
1789624730.469,c030,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 5, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 802d: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 5.0, ""raw"": ""qdisc netem 802e: root refcnt 2 limit 1000 delay 50ms loss 5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624816.033,c030,done,attempt 1
1789624817.078,c031,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 20, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 802f: root refcnt 2 limit 1000 delay 20ms""}, ""downlink"": {""delay_ms"": 20.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8030: root refcnt 2 limit 1000 delay 20ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789624879.424,c031,done,attempt 1
